name,units,count(units),group_concat(comment),column_name
Mass flux,mg m**2 day*1,36,"sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1],sinking_mass_flux_of_particulate_matter_in_sea_water  [mg m-2 d-1]",mass_total
Mass std dev,±,2,"1s err.,1s err.",mass_total_sd
MassFlux,mg/m2/day,1,"in mg per m2 per day. NOTE: The 500m and 1500m fluxes are semi-quantitative for deployments between Oct 1992 and Jan 1996 (see ""2019_OFP methodologies"" file)",mass_total
Mass_Flux,mg/m2/day,1,Mass flux,mass_total
Mass_QF,unitless,36,"quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag",mass_total_qc
Mass_f_E,mg/m**2/d,1,mass flux of split E,mass_total
Mass_f_F,mg/m**2/d,1,mass flux of split F,mass_total
Mass_f_G,mg/m**2/d,1,mass flux of split G,mass_total
Mass_f_H,mg/m**2/d,1,mass flux of split H,mass_total
Mass_f_err_E,mg/m**2/d,1,"mass flux uncertainty of split E,propagated from the per-filter analytical error",mass_total_sd
Mass_f_err_F,mg/m**2/d,1,"mass flux uncertainty of split F,propagated from the per-filter analytical error",mass_total_sd
Mass_f_err_G,mg/m**2/d,1,"mass flux uncertainty of split G,propagated from the per-filter analytical error",mass_total_sd
Mass_f_err_H,mg/m**2/d,1,"mass flux uncertainty of split H,propagated from the per-filter analytical error",mass_total_sd
Mass_f_err_mean,mg/m**2/d,1,"mass flux uncertainty,propagated from the maximum of either the per-filter analytical error or the standard deviation among replicate filter splits",mass_total_sd
Mass_f_mean,mg/m**2/d,1,"mean mass flux of splits E, F, G, H",mass_total
Mass_flux_1,mg/m2/d,2,"Mass flux #1 (mg /m^2/day)               ,Mass flux #1 (mg /m^2/day)               ",mass_total
Mass_flux_2,mg/m2/d,2,"Mass flux #2 (mg /m^2/day)               ,Mass flux #2 (mg /m^2/day)               ",mass_total
Mass_flux_3,mg/m2/d,2,"Mass flux #3 (mg /m^2/day)               ,Mass flux #3 (mg /m^2/day)               ",mass_total
Mass_flux_avg,mg/m2/d,2,"Average mass flux (mg /m^2/day)                                 ,Average mass flux (mg /m^2/day)                                 ",mass_total
Mean_Corg_flux,mmol m-2 d-1,1,Mean organic carbon flux,poc
Mean_Corg_flux_sd,mmol m-2 d-1,1,Standard deviation of mean organic carbon flux. Uncertainty is reported as the same as in Th-based approach.,poc_sd
MidDate,unitless,1,mid-point date of sample collection in GMT,time_mid
MidJDay,unitless,1,Mid Julian Day is the Julian Day (Day of Year) of the midpoint of the sample collection period.,NA
Mine flux,mg/m**2/day,2,"Total flux-org matter flux,Total flux-org matter flux",mass_total
Mn,%,274,"particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,of bulk sediment,of bulk sediment,silt fraction of moraine,of bulk sediment,of bulk sediment,of bulk sediment,of bulk sediment,of bulk sediment,CFB,detection limit 1 ppm,leached,residue,mass %,fraction < 2mm, detection limit 0.5 ppm,fraction < 2mm, detection limit 0.05 ppm,fraction < 2mm, detection limit 1 ppm,fraction < 2mm, detection limit 0.5 ppm,fraction < 2mm, detection limit 80 ppm,concentration of manganese,manganese",mn
Mn e,±,4,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",mn_sd
Mn flux,µg/m**2/day,24,,mn
Mn part std dev,±,2,,mn_sd
Mn std dev,±,21,"1 sigma uncertainty,1 sigma uncertainty,2Sigma Error,2Sigma Error",mn_sd
Mn unc,±,3,measured in sediment (grain size <63 µm),mn_sd
Mn_QC,unitless,1,quality control flag,mn_qc
N,%,5,"determined from material collected with sediment traps, irregularly in 2017, in 4-week intervals in 2018,Detection limit: 0.02,concentration of nitrogen,Nitrogen",pon
N flux,%,25,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm",pon
N flux,g/m**2/a,25,1000 m,pon
N flux,mg/m**2/day,180,"Nitrogen flux (NO3 uptake), as measured by the contents of the sediment trap over the length of time indicated,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged",pon
N flux,mmol/m**2/day,38,"particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm",pon
N flux std dev,±,19,"Standard deviation for replicates = 3, Difference for replicates = 2",pon_sd
N org,%,48,wt. %,pon
N org flux,%,1,,pon
N org flux,mg/m**2/day,2,,pon
N org std dev,±,1,,pon_sd
N std dev,±,9,,pon_sd
NO2+NO3 flux,µmol/m**2/day,1,,NA
NO2+NO3 flux,µmol/m**2/h,1,,NA
NO3,%,1,,pon
NO3 std dev,±,3,,pon_sd
NO3 std e,±,1,,pon_sd
NOMINAL_DEPTH,m,56,"depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth",depth
N_QC,unitless,1,quality control flag,pon_qc
N_f,mg/m**2/d,1,Total nitrogen flux of the sinking fraction operationally defined as particles <350 um. The nitrogen measured in all process blanks from the five cruises was averaged to determine the mean process blank in sediment trap tubes for the field program (0.015 +/- 0.006 mg N). This mean process blank was subtracted from the total nitrogen measured in each trap sample and the result was divided by the trap collection area (0.0113 m^2) and the deployment length to yield flux. Reported fluxes are the mean of measurements from 2 or 3 tubes.,pon
N_f_A,mmol/m**2/d,1,total nitrogen flux of split A,pon
N_f_B,mmol/m**2/d,1,total nitrogen flux of split B,pon
N_f_C,mmol/m**2/d,1,total nitrogen flux of split C,pon
N_f_D,mmol/m**2/d,1,total nitrogen flux of split D,pon
N_f_err,mg/m**2/d,1,Total nitrogen flux error; Uncertainties are propagated from the standard deviation of the process blanks from the five cruises (0.006 mg N) and the standard deviation or range of the two or three TN measurements per NBST deployment.,pon_sd
N_f_err_A,mmol/m**2/d,1,"total nitrogen flux uncertainty of split A, propagated from the per-filter analytical error",pon_sd
N_f_err_B,mmol/m**2/d,1,"total nitrogen flux uncertainty of split B, propagated from the per-filter analytical error",pon_sd
N_f_err_C,mmol/m**2/d,1,"total nitrogen flux uncertainty of split C, propagated from the per-filter analytical error",pon_sd
N_f_err_D,mmol/m**2/d,1,"total nitrogen flux uncertainty of split D, propagated from the per-filter analytical error",pon_sd
N_f_err_mean,mmol/m**2/d,1,"total nitrogen flux uncertainty, propagated from the maximum of either the per-filter analytical error or the standard deviation among replicate filter splits",pon_sd
N_f_mean,mmol/m**2/d,1,"mean total nitrogen flux of splits A, B, C, D",pon
N_flux_Th,mmol m-2 d-1,1,"Nitrogen flux, using the thorium-based approach",pon
N_flux_Th_sd,mmol m-2 d-1,1,"Standard deviation of nitrogen flux, using the thorium-based apporach. Uncertainty in Th-based approach calculated by propagating uncertainty in upwelling velocity and Th deficiency.",pon_sd
N_flux_sed,mmol m-2 d-1,1,Sediment trap-based nitrogen flux,pon
N_flux_sed_sd,mmol m-2 d-1,1,Standard deviation of sediment trap-based nitrogen flux. Uncertainty is reported as 50% for all sediment trap deployments.,pon_sd
N_org,mg N m-2 d-1,1,Particulate nitrogen flux,pon
Nflux,mg/m2/day,1,"total nitrogen flux, in mg per m2 per day.",pon
NitrogenFlux,mg/m**2/d,1,particulate nitrogen flux,pon
Nitrogen_flux,mg/m2/d,1,Nitrogen (mg/m2/d),pon
Nitrogen_flux_1,mg/m2/d,2,"Nitrogen flux #1 (mgN/m^2/day)               ,Nitrogen flux #1 (mgN/m^2/day)               ",pon
Nitrogen_flux_2,mg/m2/d,2,"Nitrogen flux #2 (mgN/m^2/day)               ,Nitrogen flux #2 (mgN/m^2/day)               ",pon
Nitrogen_flux_3,mg/m2/d,2,"Nitrogen flux #3 (mgN/m^2/day)               ,Nitrogen flux #3 (mgN/m^2/day)               ",pon
Nitrogen_flux_SD,mg/m2/d,1,Standard Deviation presented where n=3. Difference between replicate presented where n=2,pon_sd
Nitrogen_flux_avg,mg/m2/d,2,"Average Nitrogen flux (mgN/m^2/day),Average Nitrogen flux (mgN/m^2/day)",pon
Nominal_lat,unitless,36,"Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude,Nominal latitude",latitude
Nominal_lon,unitless,36,"nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude,nominal longitude",longitude
OM,%,28,"of total flux,of total flux,of total flux,of total flux,of total flux,of total flux,published factors range from up to 2.0 and 2.5, i.e. are poorly constrained,published factors range from up to 2.0 and 2.5, i.e. are poorly constrained,published factors range from up to 2.0 and 2.5, i.e. are poorly constrained,published factors range from up to 2.0 and 2.5, i.e. are poorly constrained,published factors range from up to 2.0 and 2.5, i.e. are poorly constrained,published factors range from up to 2.0 and 2.5, i.e. are poorly constrained,published factors range from up to 2.0 and 2.5, i.e. are poorly constrained,of total flux,of total flux,of total biogenic material,organic matter,Org-C (%) / 0.35",NA
OM flux,%,14,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%",NA
OM flux,mg/m**2/day,74,"1.87*C org flux (cf. Anderson, 1995),1.87*C org flux (cf. Anderson, 1995),recovered, time-weighted for composite samples,recovered, time-weighted for composite samples,recovered, time-weighted for composite samples,recovered, time-weighted for composite samples,recovered, time-weighted for composite samples,recovered, time-weighted for composite samples,recovered, time-weighted for composite samples",NA
OM std dev,±,6,,NA
OM_flux,mg/m2/d,1,organic matter flux,NA
OMflux std dev,±,6,,NA
Opal,%,1,(Si (%) - 3.42 x Si (%)) x 6.72 / 28,opal
Opal flux,mg m-2 day-1,1,(Si (%) - 3.42 x Al (%)) x 67.2 / 28,opal
OpalFlux,mg/m2/day,1,"the opal flux, in mg per m2 per day.",opal
Open_Time,HHMM,1,sample cup opening time,NA
Opt depth,m,3303,,depth
Org-C,%,2,"concentration of organic carbon,Organic carbon",poc
Org-C (flux),mg m-2 day-1,1,(Total mass flux x organic carbon (%)) * 100,poc
Org-C_QC,unitless,1,quality control flag,poc_qc
Organic_carbon_flux_1,mg/m2/d,2,"Organic Carbon flux #1 (mgC/m^2/day)               ,Organic Carbon flux #1 (mgC/m^2/day)               ",poc
Organic_carbon_flux_2,mg/m2/d,2,"Organic Carbon flux #2 (mgC/m^2/day)               ,Organic Carbon flux #2 (mgC/m^2/day)               ",poc
Organic_carbon_flux_3,mg/m2/d,2,"Organic Carbon flux #3 (mgC/m^2/day)               ,Organic Carbon flux #3 (mgC/m^2/day)               ",poc
Organic_carbon_flux_avg,mg/m2/d,2,"Average Organic Carbon flux (mgC/m^2/day)   ,Average Organic Carbon flux (mgC/m^2/day)   ",poc
P,%,53,"of total biogenic material,mass %",pop
P e,±,4,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",pop_sd
P flux,g/m**2/a,2,,pop
P flux std dev,±,3,"Standard deviation for replicates = 3, Difference for replicates = 2",pop_sd
P std dev,±,10,,pop_sd
P unc,±,3,measured in sediment (grain size <63 µm),pop_sd
PAR,%,1,,par
PAR,mol quanta/m**2/day,2,,par
PAl,mg/m**2/day,1,,pal
PAl std dev,±,1,,pal_sd
PCC flux,mg/m**2/day,2,,pic
PCNT_AL,%,1,percentage of aluminium in the <1mm size fraction sample,pal
PCNT_Cinorg,%,1,percentage of inorganic carbon in the <1mm size fraction sample,pic
PCNT_Corg,%,1,percentage of organic carbon in the <1mm size fraction sample,poc
PCNT_N,%,1,percentage of nitrogen in the <1mm size fraction sample,pon
PCNT_Sibio,%,1,percentage of biogenic silicon in the <1mm size fraction sample,psi
PC_mass_flux,mg m-2 d-1,56,"<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm",carbon_total
PC_mass_flux_quality_control,unitless,56,"quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux,quality flag for particulate total carbon mass flux",carbon_total_qc
PC_mass_flux_uncertainty,mg m-2 d-1,56,"uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux,uncertainty for particulate total carbon mass flux",carbon_total_sd
PIC,%,4,"salt-corrected,weight fraction",pic
PIC flux,%,9,"particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm",pic
PIC flux,mg/m**2/day,21,PIC was calculated as 12% of carbonate by weight,pic
PIC flux,mol/m**2/a,85,,pic
PIC flux std dev,±,1,,pic_sd
PIC_f_A,umol/m**2/d,1,particulate inorganic carbon flux of split A,pic
PIC_f_B,umol/m**2/d,1,particulate inorganic carbon flux of split B,pic
PIC_f_C,umol/m**2/d,1,particulate inorganic carbon flux of split C,pic
PIC_f_D,umol/m**2/d,1,particulate inorganic carbon flux of split D,pic
PIC_f_err_A,umol/m**2/d,1,"particulate inorganic carbon flux uncertainty of split A, propagated from the per-filter analytical error",pic_sd
PIC_f_err_B,umol/m**2/d,1,"particulate inorganic carbon flux uncertainty of split B, propagated from the per-filter analytical error",pic_sd
PIC_f_err_C,umol/m**2/d,1,"particulate inorganic carbon flux uncertainty of split C, propagated from the per-filter analytical error",pic_sd
PIC_f_err_D,umol/m**2/d,1,"particulate inorganic carbon flux uncertainty of split D, propagated from the per-filter analytical error",pic_sd
PIC_f_err_mean,umol/m**2/d,1,"particulate inorganic carbon flux uncertainty, propagated from the maximum of either the per-filter analytical error or the standard deviation among replicate filter splits",pic_sd
PIC_f_mean,umol/m**2/d,1,"mean particulate inorganic carbon flux of splits A, B, C, D",pic
PIC_flux,mmol/m2/day,1,Particulate inorganic carbon flux,pic
PIC_mass_flux,mg m-2 d-1,56,"<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm",pic
PIC_mass_flux_quality_control,unitless,56,"quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux,quality flag for particulate inorganic carbon mass flux",pic_qc
PIC_mass_flux_uncertainty,mg m-2 d-1,56,"uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux,uncertainty for particulate inorganic carbon mass flux",pic_sd
